Plant_Name,Unit,NRC_Webpage,Docket _Number,Location,State,Region,Licensee,Parent_Name,Parent_Website,Parent_Notes,Reactor_Type ,NSSS_Design Type ,AE,Contructor,Construction_Permit_Issued,Operating_License_Issued,Commercial_Operation,Renewed_Operating_License_Issued,Operating_License_Expires,Licensed_Mwt,Note,2015 Capacity Factor (Percent),2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),Wikipedia_URL,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent)
"Comanche Peak Nuclear Power Plant, Unit 1",1,https://www.nrc.gov/info-finder/reactors/cp1.html,05000445,"32.298333, -97.785",TX,4,"Operating Company, LLC","Comanche Peak, LLC",,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,WEST 4LP,G&H,BRRT,12/19/1974,4/17/1990,8/13/1990,N/A,2/8/2030,3612,,100%,85%,94%,98%,91%,91%,100%,96%,https://en.wikipedia.org/wiki/Comanche_Peak_Nuclear_Power_Plant,92%,90%,101%
"Comanche Peak Nuclear Power Plant, Unit 2",2,https://www.nrc.gov/info-finder/reactors/cp2.html,05000446,"32.298333, -97.785",TX,4,"Operating Company, LLC","Comanche Peak, LLC",,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,WEST 4LP,BECH,BRRT,12/19/1974,4/6/1993,8/3/1993,N/A,2/2/2033,3612,,88%,93%,99%,91%,92%,104%,94%,95%,https://en.wikipedia.org/wiki/Comanche_Peak_Nuclear_Power_Plant,92%,99%,83%
"Cooper Nuclear Station, Unit 1",1,https://www.nrc.gov/info-finder/reactors/cns.html,05000298,"40.361944, -95.641389",NE,4,Nebraska Public Power District,Nebraska Public Power District, www.nppd.com,,BWR-MARK 1,GE 4,B&R,B&R,6/4/1968,1/18/1974,7/1/1974,11/29/2010,1/18/2034,2419,,97%,88%,97%,87%,86%,100%,72%,90%,https://en.wikipedia.org/wiki/Cooper_Nuclear_Station,89%,93%,68%
"Davis-Besse Nuclear Power Station, Unit 1",1,https://www.nrc.gov/info-finder/reactors/davi.html,05000346,"41.596667, -83.086389",OH,3,First Energy Nuclear Operating Co.,First Energy Nuclear Operating Company,www.firstenergycorp.com,,PWR-DRYAMB,B&W RLP,BECH,B&W,3/24/1971,4/22/1977,7/31/1978,12/8/2015,4/22/2037,2817,,97%,74%,95%,91%,81%,66%,99%,97%,https://en.wikipedia.org/wiki/Davis-Besse_Nuclear_Power_Station,94%,75%,-1%
"Diablo Canyon Nuclear Power Plant, Unit 1",1,https://www.nrc.gov/info-finder/reactors/diab1.html,05000275,"35.210833, -120.856111",CA,4,Pacific Gas & Electric Co.,Pacific Gas & Electric Company,www.pge.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,WEST 4LP,PG&E,PG&E,4/23/1968,11/2/1984,5/7/1985,N/A,11/2/2024,3411,,87%,87%,95%,84%,100%,88%,84%,98%,https://en.wikipedia.org/wiki/Diablo_Canyon_Power_Plant,87%,76%,101%
"Diablo Canyon Nuclear Power Plant, Unit 2",2,https://www.nrc.gov/info-finder/reactors/diab2.html,05000323,"35.210833, -120.856111",CA,4,Pacific Gas & Electric Co.,Pacific Gas & Electric Company,www.pge.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,WEST 4LP,PG&E,PG&E,12/9/1970,8/26/1985,3/13/1986,N/A,8/26/2025,3411,,95%,86%,82%,97%,89%,100%,84%,74%,https://en.wikipedia.org/wiki/Diablo_Canyon_Power_Plant,99%,84%,81%
"Donald C. Cook Nuclear Plant, Unit 1",1,https://www.nrc.gov/info-finder/reactors/cook1.html,05000315,"41.975391, -86.565914",MI,3,Indiana Michigan Power Co.,Indiana Michigan Power Company,www.indianamichiganpower.com,,PWR-ICECND,WEST 4LP,AEP,AEP,3/25/1969,10/25/1974,8/28/1975,8/30/2005,10/25/2034,3304,,78%,94%,78%,104%,87%,88%,3%,64%,https://en.wikipedia.org/wiki/Donald_C._Cook_Nuclear_Generating_Station,91%,99%,74%
"Donald C. Cook Nuclear Plant, Unit 2",2,https://www.nrc.gov/info-finder/reactors/cook2.html,05000316,"41.975391, -86.565914",MI,3,Indiana Michigan Power Co.,Indiana Michigan Power Company,www.indianamichiganpower.com,,PWR-ICECND,WEST 4LP,AEP,AEP,3/25/1969,12/23/1977,7/1/1978,8/30/2005,12/23/2037,3468,,79%,101%,85%,91%,104%,84%,87%,101%,https://en.wikipedia.org/wiki/Donald_C._Cook_Nuclear_Generating_Station,100%,84%,75%
"Dresden Nuclear Power Station, Unit 2",2,https://www.nrc.gov/info-finder/reactors/dres2.html,05000237,"41.389722, -88.268056",IL,3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 3,S&L,UE&C,1/10/1966,2/20/1991,6/9/1970,10/28/2004,12/22/2029,2957,"AEC issued a provisional OL on 12/22/1969, allowing commercial operations. The NRC issued a full-term OL on 02/20/1991.",83%,98%,85%,104%,95%,102%,91%,98%,https://en.wikipedia.org/wiki/Dresden_Generating_Station,87%,78%,90%
"Dresden Nuclear Power Station, Unit 3",3,https://www.nrc.gov/info-finder/reactors/dres3.html,05000249,"41.389722, -88.268056",IL,3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 3,S&L,UE&C,10/14/1966,1/12/1971,11/16/1971,10/28/2004,1/12/2031,2957,,89%,95%,89%,91%,99%,90%,97%,93%,https://en.wikipedia.org/wiki/Dresden_Generating_Station,93%,85%,94%
"Duane Arnold Energy Center, Unit 1",1,https://www.nrc.gov/info-finder/reactors/duan.html,05000331,"42.100556, -91.777222",IA,3,"NextEra Duane Arnold, LLC","NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",www.fplgroup.com,,BWR-MARK 1,GE 4,BECH,BECH,6/22/1970,2/22/1974,2/1/1975,12/16/2010,2/21/2034,1912,,88%,79%,89%,83%,99%,89%,92%,103%,https://en.wikipedia.org/wiki/Duane_Arnold_Energy_Center,89%,100%,81%
